Study,Description,“Assum”_used?,“Consider”_used?,Without_a_key_word,SBO_ID,SBO_Term,ID+TERM
Chen et al. 2014,“ABC could release from the destruct complex cycle at the stage of CK1-pBD”,yes,no,no,650,Reversible process,650 Reversible process
Chen et al. 2014,“ABC release from CK1-pBD in ‘‘Wnt off’’ scene with much lower rate than that in ‘‘Wnt on’’scene”,yes,no,no,9,Kinetic constant,9 Kinetic constant
Chen et al. 2014,“accumulation of ABC/Bcl9 complexes in cell nucleus and random distributions of ABC/TCF complexes on transcriptional regions of target genes”,yes,no,no,183,Transcription,183 Transcription
Chen et al. 2014,“cell adhesion facilitates the phosphorylation of ?-catenin at Y142 and the phosphorylation accelerates the association kinetics between ABC and Bcl9”,yes,no,no,216,Phosphorylation,216 Phosphorylation
Chen et al. 2014,"“crowding caused by cadherin clustering slows down the structural transformation in destruction complexes, which leads to more ABCs released”",yes,no,no,9,Kinetic constant,9 Kinetic constant
Chen et al. 2014,“dephosphorylation of Axins trigger the transformation of destruction complex which leads to the exposure of ?-catenins to ubiquitin/proteosome machinery”,yes,no,no,526,Protein complex formation,526 Protein complex formation
Chen et al. 2014,“destruction complexes undergo structural transformation that exposes ?-catenins to ubiquitin/proteosome machinery after GSK3-phosphorylation”,yes,no,no,526,Protein complex formation,526 Protein complex formation
Chen et al. 2014,"“endocytosis rate of ‘‘cis’’ complexes is lower than that of ‘‘trans’’ complexes, and ‘‘free’’ Cad/Cat complexes have the highest endocytosis rate”",yes,no,no,655,Transport,655 Transport
Chen et al. 2014,“majority of cadherins form trans-dimers due to the diffusion trap mechanism”,yes,no,no,526,Protein complex formation,526 Protein complex formation
Chen et al. 2014,“process of junction formation is simplified by using state transition of Cad/Cat complexes”,no,no,yes,526,Protein complex formation,526 Protein complex formation
Chen et al. 2014,“recycling is not considered explicitly. We use a single order chemical reaction to describe the degradation”,no,yes,no,179,Degradation,179 Degradation
Chen et al. 2014,“spatial reorganization of membrane changes the binding between cadherins and ?-catenins. The association rate between cadherins and ?-catenins increases and the disassociation rate decreases.”,yes,no,no,9,Kinetic constant,9 Kinetic constant
Chen et al. 2014,“use a single order chemical reaction to describe this process” [formation and co-localization of Cad/Cat complexes],no,no,yes,78,Mass action rate law for first order reversible reactions,78 Mass action rate law for first order reversible reactions
Chen et al. 2014,“We set up a subcellular system that occupies 2.5% volume of a whole cell. Given the measurement that the volume of a cell is around 10^{-12} L.”,no,no,yes,290,Physical compartment,290 Physical compartment
