Study,Description,Category
Lee et al. 2003,"“number of parameters were set such that the results of the model were in agreement with previous experimental data, specifically with the experimentally determined rate of β-catenin degradation (Salic et al. 2000; Lee et al. 2001)”",Optimization
Lee et al. 2003,"“we ran through a series of simulations, all of which used the same set of parameters. From these we calculated simulated timecourses for β-catenin degradation under a range of different conditions (increased axin concentration, increased Dsh a concentration, inhibition of GSK3b, increased TCF concentration)”",Parameter scan
Lee et al. 2003,“Effect of Dsh versus Axin or GSK3β on the half-life of β-catenin in Xenopus extracts”,Parameter scan
Lee et al. 2003,“theoretical effect of APC on the concentrations of both β-catenin and axin”,Perturbation
Lee et al. 2003,“simulated the effects of changes in the rate of β-catenin (v_{12}) and axin (v_{14}) synthesis on both β-catenin and axin levels”,Parameter scan
Lee et al. 2003,“transient Wnt stimulation by an exponential decay” with different rates of axin synthesis and degradation”,Parameter scan
Lee et al. 2003,“Effects of increasing axin concentration on β-catenin degradation”,Parameter scan
Lee et al. 2003,“Effects of APC concentrations on β-catenin degradation”,Parameter scan
Lee et al. 2003,“effect of these alternative pathways [with and without regulatory loop Eq. 5] becomes much more prominent when the APC concentration is lowered”,Perturbation
Lee et al. 2003,“Sensitivity analysis (control coefficients) of model regarding reaction rate constants”,Sensitivity analysis
Lee et al. 2003,“Sensitivity analysis (control coefficients) of model regarding concentration”,Sensitivity analysis
Krüger and Heinrich 2004,Showing how the β-catenin signal depends on the duration of a transient stimulation of the pathway by its ligand Wnt”,Parameter scan
Krüger and Heinrich 2004,“Showing how the β-catenin signal depends on the characteristic time $\tau_{PD}$ of the phosphorylation/dephosphorylation cycle of Axin and APC”,Parameter scan
Cho et al. 2006,"“Since an accurate measurement of this synthesis rate is not available, we also varied this rate constant ($k_18$) and confirmed that our qualitative conclusions are not affected by specific values of this parameter.”",Parameter scan
Cho et al. 2006,"“effects of individual mutations on β-catenin signaling (steady state) output.” (16 simulation experiments with different parameters, observable: available β-catenin)",Perturbation
Cho et al. 2006,“we varied $k_13$ to mimic the activity level of Axin-independent degradation in different tissues”,Parameter scan
Sick et al. 2006,“system is robust to parameter variations and the actual values do not affect the qualitative behavior of the system”,Sensitivity analysis
Sick et al. 2006,“Moderate overexpression of activator during either the initial or a subsequent inductive wave”,Perturbation
Sick et al. 2006,"“Modeling of the effects of altered activator and inhibitor production, respectively, as well as of increased inhibitor decay” (“values for $\rho_a$ and $\rho_h$ were increased/decreased”, “changes in inhibitor decay were accounted for by increasing/decreasing $\mu_h$.”)",Perturbation
Kim et al. 2007,"“From additional simulations over a range of parameters, we have confirmed that any small change of the parameters does not affect our hypothesis (data not shown)”",Sensitivity analysis
Kim et al. 2007,“The effect of parameter perturbations on β-catenin and ERKpp levels”,Perturbation
Kim et al. 2007,“The simulation results under conditions of normal and mutated Wnt signaling”,Perturbation
Kim et al. 2007,“Comparison of the Wnt and ERK signaling dynamics with and without crosstalk”,Perturbation
Rodriguez-Gonzales et al. 2007,“We found that Hill exponents of the order of 7 were necessary for each of the three subsystems to oscillate spontaneously”,Parameter scan
Rodriguez-Gonzales et al. 2007,"parameter scan with parameters “for which sustained oscillations are observed in each case”, change in oscillation period observed",Parameter scan
Rodriguez-Gonzales et al. 2007,“We found that Hill exponents of the order of 7 were necessary for each of the three subsystems to oscillate spontaneously”,Parameter scan
Rodriguez-Gonzales et al. 2007,"parameter scan with parameters “for which sustained oscillations are observed in each case”, change in oscillation period observed",Parameter scan
Rodriguez-Gonzales et al. 2007,“We found that Hill exponents of the order of 7 were necessary for each of the three subsystems to oscillate spontaneously”,Parameter scan
Rodriguez-Gonzales et al. 2007,"parameter scan with parameters “for which sustained oscillations are observed in each case”, change in oscillation period observed",Parameter scan
Rodriguez-Gonzales et al. 2007,analyze spontaneous oscillation of coupled system,Time course analysis
Rodriguez-Gonzales et al. 2007,“test whether Axin2 is capable of recruiting the Hes1 subssystem”,Parameter scan
Rodriguez-Gonzales et al. 2007,“repeated the numerical experiments described in the previous paragraph considering the new degradation rates”,Parameter scan
Rodriguez-Gonzales et al. 2007,"“With these parameter values, both Axin2 and Hes1 subsystems oscillate spontaneously with a period of about 120 min, while the Lfng subsystem does not show sustained oscillations, even if it is subject to negative feedback”",Time course analysis
Rodriguez-Gonzales et al. 2007,“model dynamic behaviour was analysed by setting $n_d=1$ ($n_h=4$) to avoid spontaneous oscillations in the Axin2 (Hes1) subsystem”,Time course analysis
Rodriguez-Gonzales et al. 2007,“we tested that Axin2 oscillation arresting can be fully accounted for by reduction of Dvl levels—concomitant with Wnt3a-concentration decrease,Time course analysis
van Leeuwen et al. 2007,“A sensitivity analysis of the equilibrium solution upon the parameter values is performed in Appendix”,Sensitivity analysis
van Leeuwen et al. 2007,“Effects of continuous Wnt-exposure on gene expression” and “on cell-cell adhesion” (transcription complexes and target protein over time for H1 and H2),Parameter scan
van Leeuwen et al. 2007,“Response of wild-type (wt) and mutant cells to a Wnt gradient.”,Perturbation
van Leeuwen et al. 2007,“Impact of changes in E-cadherin expression (occurring at time $\tau=0$) on cell–cell adhesion and Wnt signalling” and “impact of E-cadherin expression on Wnt target gene expression in wild-type cells (black bold lines) and APC mutants”,Parameter scan
van Leeuwen et al. 2007,“Impact of the axin2 transcriptional feedback loop”,Parameter scan
Wawra et al. 2007,“Extended single parameter perturbation analysis of the Lee–Heinrich model”,Sensitivity analysis
Wawra et al. 2007,“Multiple-parameter perturbations vs. single parameter perturbation” of Lee-Heinrich model,Sensitivity analysis
Wawra et al. 2007,“using different initial reference states” to see whether “varying initial conditions yield different models”,Sensitivity analysis
Wawra et al. 2007,"“varied the delays, the Hill coefficient, and parameters concerning the Axin2 increase and Axin/Axin2 fraction”",Time course analysis
Wawra et al. 2007,“we increased β-catenin and Axin flux through the original Lee–Heinrich model by factors ranging from 2 to 20”,Parameter scan
Wawra et al. 2007,“Stable oscillation of the feedback-augmented Lee–Heinrich model” (for various Hill coefficients are shown),Parameter scan
Wawra et al. 2007,"“For the settings resulting in the fastest oscillation, we investigated the influence of the second feedback loops by modifying the impact of DKK1”",Time course analysis
Goldbeter et Pourquié 2008,"“For an appropriate set of parameter values, numerical integration of the kinetic equations Eqs. (A.6)–(A.11) shows that sustained oscillations in all six variables can occur in a given range of (constant) Wnt levels. The Axin2 and Gsk3 proteins oscillate out of phase.”",Time course analysis
Goldbeter et Pourquié 2008,"“sustained oscillations are again obtained, but in contrast to the case of independent oscillations when the three signaling pathways are uncoupled and oscillate each at their own pace”",Time course analysis
Goldbeter et Pourquié 2008,"“kinetic equations for the FGF, Wnt and Notch signaling modules were multiplied by scaling parameters η, ε, and θ so that the relative periods of the three oscillators could easily be changed”",Parameter scan
van Leeuwen et al. 2009,“Predicted position-dependent cell-cycle times in the intestinal crypt” (WCC model),Time course analysis
van Leeuwen et al. 2009,“Predicted position-dependent cell-cycle times in the intestinal crypt” (DMC + Wnt),Time course analysis
van Leeuwen et al. 2009,“large number of in silico labelling-index (LI) experiments” to “calculate how the percentage of labelled cells varies with position along the dissection line” (DMC model),Time course analysis
van Leeuwen et al. 2009,“study expansion of a clonal population in silico” (SM1: Meineke model),Time course analysis
van Leeuwen et al. 2009,“study expansion of a clonal population in silico” (DMC model),Time course analysis
van Leeuwen et al. 2009,“Dependence of cell size and geometry on cell adhesion”,Parameter scan
van Leeuwen et al. 2009,“Dependence of cell size and geometry on cell adhesion”,Time course analysis
van Leeuwen et al. 2009,“Dependence of cell size and geometry on cell adhesion.”,Time course analysis
van Leeuwen et al. 2009,“Dependence of cell size and geometry on cell adhesion.”,Time course analysis
van Leeuwen et al. 2009,"“two equivalent crypt simulations, based on Hypotheses I (purely competitive scenario) and II (two molecular forms of β-catenin), respectively”",Perturbation
Mirams et al. 2010,numerical simulation of Eqs. (8)–(13) (beginning at steady state solution) with constant Wnt (W=1) for t=0...500,Time course analysis
Mirams et al. 2010,“Response to a sudden Wnt stimulus (W = 1) introduced when the pathway is in equilibrium (for W = 0) at t = 0” (SM3 + SM4 + SM5),Time course analysis
Mirams et al. 2010,“A Wnt stimulus of W (t) = e^(−t/20) is applied to a system resting at a steady state with W (0) = 0”,Time course analysis
Mirams et al. 2010,numerical simulation of SM8 (beginning at steady state solution) with constant Wnt (W=1) for t=0...500,Time course analysis
Kogan et al. 2012,"model calibration “Each subset of model parameters was adjusted by fitting model predictions to the partial training set, whereas other parameters were set at their initially estimated values”",Optimization
Kogan et al. 2012,"model calibration “select the best-predictive parameter set among the sets obtained in the first step, we simulated the application of all of the ten Wnt3a doses experimentally tested in [38]”",Optimization
Kogan et al. 2012,"“The model was simulated over 2 or 3 h, corresponding to the duration of the respective experiment, and total computed β-catenin accumulation was compared with the experimental results.” ([39, 40])",Parameter scan
Kogan et al. 2012,“predict the inhibition effects of sFRP1 on β-catenin accumulation”,Parameter scan
Kogan et al. 2012,“predict the inhibition effects of sFRP2 on β-catenin accumulation”,Parameter scan
Kogan et al. 2012,“Inhibition of β-catenin accumulation by Dkk1”,Parameter scan
Kogan et al. 2012,“simulated the combined effect of sFRP1 and Dkk1 on Wnt-induced β-catenin accumulation”,Parameter scan
Kogan et al. 2012,"“application of the same concentration combinations, varying each of the model parameter values up to +− 50 %”",Parameter scan
Mazemondet et al. 2012,calibration: parameter fitting and sensitivity analysis,Optimization
Mazemondet et al. 2012,"“first (simulation experiment) compares to the Lee model to show that we cover the basic machinery of the Wnt/β-catenin pathway, as it is currently known”",Time course analysis
Mazemondet et al. 2012,calibration: parameter fitting (only for t<=2h),Optimization
Mazemondet et al. 2012,“the second (simulation experiment) compares to our own experimental data”,Time course analysis
Mazemondet et al. 2012,“Effects of AxinP on β-catenin dynamics according to stochastic simulation” (without Wnt),Time course analysis
Mazemondet et al. 2012,“decrease the rate constant of AixnP-dependent β-catenin degradation and maintain the β-catenin level by simultaneously decreasing the flux of β_cyt-production”,Parameter scan
Mazemondet et al. 2012,“Effects of AxinP on β-catenin dynamics according to stochastic simulation” (without Wnt) with 1000x faster (de)phosphorylation of Axin,Time course analysis
Mazemondet et al. 2012,"“dynamics of β _nuc for 10 simulation runs are shown, where the Wnt signal is switched off” / and on",Perturbation
Mazemondet et al. 2012,"“simulation experiments with the parameters in Table 3, Set 3 (...) with 100 cells”",Time course analysis
Mazemondet et al. 2012,"“simulation experiments with the parameters in Table 3, Set 4”",Time course analysis
Mazemondet et al. 2012,“simulation experiment with a cell population of 100 cells and a Wnt induction delay of 150 minutes (2.5 hours)”,Time course analysis
